system:index,date,.geo
20250118T231850_20250120T151715,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T010020_20250120T170632,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T024150_20250120T185014,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T042321_20250121T082313,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T060451_20250120T221506,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T074621_20250120T235658,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T092751_20250121T081656,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T110921_20250121T032723,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T125051_20250121T051044,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T143221_20250121T081720,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T161352_20250121T100330,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T175522_20250121T103223,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T193652_20250121T122646,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T211822_20250121T131623,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119T225952_20250121T145832,2025-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T004122_20250121T165701,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T022253_20250121T181840,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T040423_20250121T202822,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T054553_20250121T220013,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T072723_20250121T234031,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T090853_20250122T012903,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T105023_20250122T031525,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T123153_20250122T045220,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T141324_20250122T083417,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T155454_20250122T080332,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T173624_20250123T121326,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T191754_20250122T113136,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T205924_20250122T130409,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T224054_20250122T143650,2025-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250121T002225_20250122T162031,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250121T020355_20250122T175905,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250121T034525_20250122T195834,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250121T052655_20250122T213819,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250121T070825_20250122T232429,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250121T084955_20250123T085249,2025-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
